names.geno	Entry	Lines	stp2012	stp2012.sev	stp2012.it	stp2012.coi	crk2012	crk2012.sev	crk2012.it	crk2012.coi	stp2013	stp2013.sev	stp2013.it	stp2013.coi	stp2014	stp2014.sev	stp2014.it	stp2014.coi	stp2015	stp2015.sev	stp2015.it	stp2015.coi	Race1	CA1.2	Field Mix	Flower2014	Hdg2015	Hdg_avg
RL6095	APR	RL6095	80S	80.00	1.00	80.00	30MRMS	30.00	0.53	15.90	70 MSS	70.00	0.87	60.90	70S	70.00	1.00	70.00	70S	70.00	1.00	70.00	3+	;2/3+	4	8	12	10
RL6096	seedling	RL6096	25MRMS	25.00	0.53	13.25	TR	2.00	0.20	0.40	10 MRMS	10.00	0.53	5.30	40MSS	40.00	0.87	34.80	40MRMS	40.00	0.53	21.20	3+	3+	4	8	12	10
RL6097	Lr38	RL6097	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	10 MR	10.00	0.40	4.00	TR	2.00	0.20	0.40	5R	5.00	0.20	1.00	;	;	0;	8	12	10
RL6061		RL6061	70S	70.00	1.00	70.00	50S	50.00	1.00	50.00	70 S	70.00	1.00	70.00	60S	60.00	1.00	60.00	80S/5R	55.00	0.73	40.33	3+	;22+	3+	8	7	7.5
RL6074		RL6074	70S	70.00	1.00	70.00	10MSS	10.00	0.87	8.70	50 MS	50.00	0.80	40.00	50MS	50.00	0.80	40.00	70S	70.00	1.00	70.00	3+	3+	3+	8	4	6
RL6105	LrT3	RL6105	80S	80.00	1.00	80.00	60S	60.00	1.00	60.00	80 S	80.00	1.00	80.00	80S	80.00	1.00	80.00	80S	80.00	1.00	80.00	3+	3+	3+	8	4	6
RL6137	Lr63	RL6137	-	NA	NA	NA	10MRMS	10.00	0.53	5.30	20 RMR	20.00	0.27	5.40	20RMR	20.00	0.27	5.40	20RMR	20.00	0.27	5.40	-	-	;2	8	4	6
RL6148	Tc/spelt	RL6148	50MSS	50.00	0.87	43.50	50S	50.00	1.00	50.00	70 S	70.00	1.00	70.00	50MS	50.00	0.80	40.00	70S	70.00	1.00	70.00	3+	3+	3+	8	4	6
RL6149	TcLr64	RL6149	5R	5.00	0.20	1.00	TR	2.00	0.20	0.40	5 R	5.00	0.20	1.00	10RMR	10.00	0.27	2.70	10RMR	10.00	0.27	2.70	;1	3+	;22+	8	4	6
RL6158	Tc/V488	RL6158	50S	50.00	1.00	50.00	50S	50.00	1.00	50.00	70 S	70.00	1.00	70.00	70S	70.00	1.00	70.00	70S	70.00	1.00	70.00	3	3+	3+	8	12	10
